claim_id,claim_measurement_id,claim_text,date,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,in_ready,cand_tbl_ids,gold_verifiable,gold_measurement_correct,gold_org_id,gold_tbl_id,gold_obj_l1,gold_itm_id,gold_verdict,gold_actual_value
A0640-C007,A0640-C007-m1,미국발 자동차 관세가 국내 자동차 업계에 끼치는 피해가 10조원을 웃돌 것이란 추산치도 금융권에서 나왔다.,2025-02-19,10조원,KOSIS_VALUE,해외통계·정책,hcx,현재값,자동차 수출 감소액,자동차,10000000000000,원,-,-,N,,,,,,,,,
A2582-C001,A2582-C001-m1,"지난달 한국의 대미(對美) 자동차 수출액은 지난해 6월보다 감소했으며, 4개월 연속 전년 동기 대비 마이너스였다.",2025-07-18,4개월,CONTEXT,국내공식통계,claim_fallback,참고값,연속 감소 기간,자동차,4,개월,2025-06,M,N,,,,,,,,,
A2129-C004,A2129-C004-m1,"2010년 해당 조사가 시작된 이후, R&D 투자 규모가 80조원을 돌파한 건 이번이 처음이다.",2025-06-13,80조원,CONTEXT,개별기업,hcx,참고값,R&D 투자 규모,-,80000000000000,원,2024,Y,N,,,,,,,,,
A0809-C004,A0809-C004-m1,테슬라는 작년 주요 시장인 미국(-1%)과 유럽(-13%)에서 판매가 급감하며 설립 이후 처음 연간 판매량이 감소세로 돌아섰다.,2025-03-04,1%,KOSIS_VALUE,개별기업,hcx,증감률,미국 내 전기차 판매량,전기차,1,%,2024,Y,N,,,,,,,,,
A0809-C004,A0809-C004-m2,테슬라는 작년 주요 시장인 미국(-1%)과 유럽(-13%)에서 판매가 급감하며 설립 이후 처음 연간 판매량이 감소세로 돌아섰다.,2025-03-04,13%,KOSIS_VALUE,개별기업,hcx,증감률,유럽 내 전기차 판매량,전기차,13,%,2024,Y,N,,,,,,,,,
A1085-C005,A1085-C005-m1,"같은 기간 비대면 진료 플랫폼과 제휴를 맺은 의사 수는 월 1196명에서 1536명으로, 처방약을 조제한 약국은 월 8556곳에서 1만2524곳으로 늘어났다.",2025-03-25,1196명,KOSIS_VALUE,국내공식통계,hcx,이전값,비대면 진료 플랫폼과 제휴를 맺은 의사 수,-,1196,명,-,-,N,,,,,,,,,
A1085-C005,A1085-C005-m2,"같은 기간 비대면 진료 플랫폼과 제휴를 맺은 의사 수는 월 1196명에서 1536명으로, 처방약을 조제한 약국은 월 8556곳에서 1만2524곳으로 늘어났다.",2025-03-25,1536명,KOSIS_VALUE,국내공식통계,hcx,현재값,비대면 진료 플랫폼과 제휴를 맺은 의사 수,-,1536,명,-,-,N,,,,,,,,,
A1085-C005,A1085-C005-m3,"같은 기간 비대면 진료 플랫폼과 제휴를 맺은 의사 수는 월 1196명에서 1536명으로, 처방약을 조제한 약국은 월 8556곳에서 1만2524곳으로 늘어났다.",2025-03-25,8556곳,KOSIS_VALUE,국내공식통계,hcx,이전값,처방약을 조제한 약국 수,-,8556,곳,-,-,N,,,,,,,,,
A1085-C005,A1085-C005-m4,"같은 기간 비대면 진료 플랫폼과 제휴를 맺은 의사 수는 월 1196명에서 1536명으로, 처방약을 조제한 약국은 월 8556곳에서 1만2524곳으로 늘어났다.",2025-03-25,1만2524곳,KOSIS_VALUE,국내공식통계,hcx,현재값,처방약을 조제한 약국 수,-,12524,곳,-,-,N,,,,,,,,,
A1065-C016,A1065-C016-m1,"연간 매출액은 951억원에서 1164억원으로 22.4% 증가했고, 4분기 흑자 전환하면서 영업손실은 전년 94억원에서 지난해 61억원으로 감소했다.",2025-03-23,951억원,KOSIS_VALUE,개별기업,hcx,이전값,연간 매출액,애니메이션,95100000000,원,-,-,N,,,,,,,,,
A1065-C016,A1065-C016-m2,"연간 매출액은 951억원에서 1164억원으로 22.4% 증가했고, 4분기 흑자 전환하면서 영업손실은 전년 94억원에서 지난해 61억원으로 감소했다.",2025-03-23,1164억원,KOSIS_VALUE,개별기업,hcx,현재값,연간 매출액,애니메이션,116400000000,원,2024,Y,N,,,,,,,,,
