org_id,tbl_id,tbl_name,category_path,axis_id,axis_name,axis_order,code_id,code_name,parent_code_id,is_item,unit_id,unit_name,unit_eng_name,prd_se_list,metadata_source
101,DT_1DA7001S,성별 경제활동인구 총괄,,ITEM,항목,,T10,15세이상인구,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,ITEM,항목,,T20,경제활동인구,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,ITEM,항목,,T30,취업자,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,ITEM,항목,,T40,실업자,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,ITEM,항목,,T50,비경제활동인구,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,ITEM,항목,,T60,경제활동참가율,,Y,14STD00018,%,%,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,ITEM,항목,,T80,실업률,,Y,14STD00018,%,%,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,ITEM,항목,,T90,고용률,,Y,14STD00018,%,%,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,0,계,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,2,남자,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,3,여자,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,4,농가,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,5,농가남자,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,6,농가여자,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,7,비농가,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,8,비농가남자,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7001S,성별 경제활동인구 총괄,,B,성별,1,9,비농가여자,,N,,,,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7002S,연령별 경제활동인구 총괄,,ITEM,항목,,T10,인구,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7002S,연령별 경제활동인구 총괄,,ITEM,항목,,T20,경제활동인구,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7002S,연령별 경제활동인구 총괄,,ITEM,항목,,T30,취업자,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
101,DT_1DA7002S,연령별 경제활동인구 총괄,,ITEM,항목,,T40,실업자,,Y,14STD06156,천명,Thousand Person,M|Q|Y,KOSIS_MCP_TABLE_INFO
