claim_id,article_id,title,date,url,claim_text,prev_sentence,next_sentence
A2698-C010,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"도소매, 금융·보험을 중심으로 증가폭이 확대됐으며, 계절조정 전년 동월 대비 기준으로도 3.8% 증가하는 등 양호한 모습을 보였다.",9월 서비스업생산은 전년 동월 대비 6.2% 증가했다.,소비자심리지수도 109.8로 높은 수준을 유지했다.
A2698-C011,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,소비자심리지수도 109.8로 높은 수준을 유지했다.,"도소매, 금융·보험을 중심으로 증가폭이 확대됐으며, 계절조정 전년 동월 대비 기준으로도 3.8% 증가하는 등 양호한 모습을 보였다.",시장금리 하락세와 2차 민생회복 소비쿠폰 지급 등으로 소비 여건이 개선된 영향이다.
A2698-C012,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,시장금리 하락세와 2차 민생회복 소비쿠폰 지급 등으로 소비 여건이 개선된 영향이다.,소비자심리지수도 109.8로 높은 수준을 유지했다.,"정부는 7월 전국민 대상 1인당 15만원(최대 55만원), 9~10월 소득 상위 10%를 제외한 국민 90%를 대상으로 1인당 10만원의 소비쿠폰을 지급한 바 있다."
A2698-C013,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"정부는 7월 전국민 대상 1인당 15만원(최대 55만원), 9~10월 소득 상위 10%를 제외한 국민 90%를 대상으로 1인당 10만원의 소비쿠폰을 지급한 바 있다.",시장금리 하락세와 2차 민생회복 소비쿠폰 지급 등으로 소비 여건이 개선된 영향이다.,하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.
A2698-C014,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.,"정부는 7월 전국민 대상 1인당 15만원(최대 55만원), 9~10월 소득 상위 10%를 제외한 국민 90%를 대상으로 1인당 10만원의 소비쿠폰을 지급한 바 있다.","최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다."
A2698-C015,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.",하지만 최근 추세와 더 밀접한 전월 대비 소매판매 추이를 보면 다른 그림이 그려진다.,소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.
A2698-C016,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.,"최근 발표된 국가데이터처의 산업활동동향에 따르면, 소비쿠폰이 지급된 후 7월 소매판매는 전월 대비 2.7% 증가했지만, 8월과 9월에는 각각 2.4%, 0.1% 감소하면서 두 달 연속 마이너스를 기록했다.","3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다."
A2698-C017,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다.",소비쿠폰 효과가 빠르게 사라지면서 부진했던 내수의 민낯이 드러나고 있다는 지적이 나온다.,일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.
A2698-C018,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,"3분기 전체 소매판매는 2분기 대비 0.7% 증가했지만, 이는 7월 효과가 워낙 컸기 때문이다.","◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다."
A2698-C019,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다.",일회성 정책 효과가 끝나자 소비는 다시 힘을 잃어가는 모습이다.,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.
A2698-C020,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,"◇수출 증가세 둔화, 건설투자 부진 지속 수출 증가세는 완만하게 둔화되는 모습을 나타냈다.","반도체경기 호조세는 유지됐으나, 미국 관세 인상의 부정적 영향이 파급되면서 수출 증가세가 점차 둔화됐다."
A2698-C021,A2698,"KDI “소비 회복에 경기 다소 개선”…석 달째 같은 진단, 현실은?",2025-11-09,https://www.chosun.com/economy/economy_general/2025/11/09/PU2BGMNE3JEOBM3XGQRSWQLMP4/,"반도체경기 호조세는 유지됐으나, 미국 관세 인상의 부정적 영향이 파급되면서 수출 증가세가 점차 둔화됐다.",10월 수출은 전년 동월 대비 3.6% 증가에 그쳤다.,"미국으로의 수출이 감소세를 지속한 가운데, 반도체를 제외한 품목의 부진으로 일평균 수출액은 완만하게 둔화되는 모습이다."
